feature_id,feature_name,description
1,Cloud Storage,Access to cloud storage
2,Priority Support,Access to priority support
3,Ad-Free Experience,Access to ad-free experience
4,HD Streaming,Access to hd streaming
5,4K Streaming,Access to 4k streaming
6,Multiple Devices,Access to multiple devices
7,Offline Access,Access to offline access
8,API Access,Access to api access
9,Custom Branding,Access to custom branding
10,Advanced Analytics,Access to advanced analytics
11,Team Collaboration,Access to team collaboration
12,Automated Backups,Access to automated backups
13,Dedicated Account Manager,Access to dedicated account manager
14,Early Access Features,Access to early access features
15,Unlimited Downloads,Access to unlimited downloads
