invoice_item_id,invoice_id,description,quantity,unit_price,line_total
1,1,Subscription fee,1,199.0,199.0
2,1,Late fee,1,179.19,179.19
3,2,Subscription fee,1,999.0,999.0
4,3,Subscription fee,1,1499.0,1499.0
5,4,Subscription fee,1,999.0,999.0
6,5,Subscription fee,1,999.0,999.0
7,5,Add-on: Extra storage,1,290.45,290.45
8,6,Subscription fee,1,1399.0,1399.0
9,7,Subscription fee,1,999.0,999.0
10,8,Subscription fee,1,2799.0,2799.0
11,8,Late fee,1,202.29,202.29
12,9,Subscription fee,1,4999.0,4999.0
13,10,Subscription fee,1,1499.0,1499.0
14,11,Subscription fee,1,499.0,499.0
15,12,Subscription fee,1,199.0,199.0
16,13,Subscription fee,1,199.0,199.0
17,14,Subscription fee,1,4999.0,4999.0
18,15,Subscription fee,1,199.0,199.0
19,16,Subscription fee,1,24999.0,24999.0
20,17,Subscription fee,1,9999.0,9999.0
21,17,Tax,1,105.62,105.62
22,18,Subscription fee,1,24999.0,24999.0
23,19,Subscription fee,1,1499.0,1499.0
24,20,Subscription fee,1,1399.0,1399.0
25,20,Add-on: Extra user,1,143.0,143.0
26,21,Subscription fee,1,1999.0,1999.0
27,22,Subscription fee,1,199.0,199.0
28,23,Subscription fee,1,199.0,199.0
29,24,Subscription fee,1,1999.0,1999.0
30,25,Subscription fee,1,199.0,199.0
31,26,Subscription fee,1,199.0,199.0
32,26,Tax,1,292.13,292.13
33,27,Subscription fee,1,4999.0,4999.0
34,28,Subscription fee,1,999.0,999.0
35,29,Subscription fee,1,9999.0,9999.0
36,30,Subscription fee,1,2799.0,2799.0
37,31,Subscription fee,1,4999.0,4999.0
38,32,Subscription fee,1,499.0,499.0
39,32,Late fee,1,227.27,227.27
40,33,Subscription fee,1,2799.0,2799.0
41,34,Subscription fee,1,1399.0,1399.0
42,35,Subscription fee,1,4999.0,4999.0
43,36,Subscription fee,1,24999.0,24999.0
44,37,Subscription fee,1,1499.0,1499.0
45,38,Subscription fee,1,2799.0,2799.0
46,39,Subscription fee,1,2799.0,2799.0
47,40,Subscription fee,1,9999.0,9999.0
48,41,Subscription fee,1,2799.0,2799.0
49,42,Subscription fee,1,1499.0,1499.0
50,43,Subscription fee,1,499.0,499.0
51,43,Add-on: Extra user,1,187.64,187.64
52,44,Subscription fee,1,1499.0,1499.0
53,45,Subscription fee,1,999.0,999.0
54,46,Subscription fee,1,24999.0,24999.0
55,46,Add-on: Extra user,1,75.52,75.52
56,47,Subscription fee,1,199.0,199.0
57,48,Subscription fee,1,4999.0,4999.0
58,49,Subscription fee,1,24999.0,24999.0
59,49,Tax,1,190.76,190.76
60,50,Subscription fee,1,999.0,999.0
61,51,Subscription fee,1,199.0,199.0
62,51,Add-on: Extra user,1,64.39,64.39
63,52,Subscription fee,1,24999.0,24999.0
64,53,Subscription fee,1,1999.0,1999.0
65,54,Subscription fee,1,499.0,499.0
66,54,Add-on: Extra user,1,288.91,288.91
67,55,Subscription fee,1,499.0,499.0
68,56,Subscription fee,1,199.0,199.0
69,56,Tax,1,156.49,156.49
70,57,Subscription fee,1,499.0,499.0
71,58,Subscription fee,1,1999.0,1999.0
72,59,Subscription fee,1,999.0,999.0
73,60,Subscription fee,1,1399.0,1399.0
74,61,Subscription fee,1,199.0,199.0
75,62,Subscription fee,1,1999.0,1999.0
76,63,Subscription fee,1,2799.0,2799.0
77,63,Late fee,1,251.03,251.03
78,64,Subscription fee,1,999.0,999.0
79,65,Subscription fee,1,499.0,499.0
80,65,Late fee,1,80.68,80.68
81,66,Subscription fee,1,1499.0,1499.0
82,67,Subscription fee,1,2799.0,2799.0
83,68,Subscription fee,1,499.0,499.0
84,69,Subscription fee,1,1999.0,1999.0
85,70,Subscription fee,1,1399.0,1399.0
86,70,Add-on: Extra user,1,138.36,138.36
87,71,Subscription fee,1,4999.0,4999.0
88,72,Subscription fee,1,1399.0,1399.0
89,73,Subscription fee,1,4999.0,4999.0
90,74,Subscription fee,1,1499.0,1499.0
91,74,Tax,1,113.65,113.65
92,75,Subscription fee,1,4999.0,4999.0
93,75,Add-on: Extra storage,1,55.32,55.32
94,76,Subscription fee,1,4999.0,4999.0
95,77,Subscription fee,1,1499.0,1499.0
96,78,Subscription fee,1,24999.0,24999.0
97,79,Subscription fee,1,499.0,499.0
98,80,Subscription fee,1,199.0,199.0
99,80,Late fee,1,96.32,96.32
100,81,Subscription fee,1,1499.0,1499.0
101,82,Subscription fee,1,1999.0,1999.0
102,83,Subscription fee,1,1399.0,1399.0
103,84,Subscription fee,1,999.0,999.0
104,85,Subscription fee,1,1499.0,1499.0
105,85,Late fee,1,184.61,184.61
106,86,Subscription fee,1,24999.0,24999.0
107,87,Subscription fee,1,1499.0,1499.0
108,88,Subscription fee,1,499.0,499.0
109,89,Subscription fee,1,499.0,499.0
110,89,Late fee,1,298.62,298.62
111,90,Subscription fee,1,1999.0,1999.0
112,91,Subscription fee,1,1499.0,1499.0
113,92,Subscription fee,1,499.0,499.0
114,92,Setup fee,1,68.65,68.65
115,93,Subscription fee,1,4999.0,4999.0
116,94,Subscription fee,1,499.0,499.0
117,95,Subscription fee,1,2799.0,2799.0
118,96,Subscription fee,1,24999.0,24999.0
119,97,Subscription fee,1,199.0,199.0
120,98,Subscription fee,1,24999.0,24999.0
121,99,Subscription fee,1,1499.0,1499.0
122,100,Subscription fee,1,199.0,199.0
123,101,Subscription fee,1,2799.0,2799.0
124,102,Subscription fee,1,2799.0,2799.0
125,103,Subscription fee,1,199.0,199.0
126,104,Subscription fee,1,24999.0,24999.0
127,105,Subscription fee,1,1399.0,1399.0
128,106,Subscription fee,1,1999.0,1999.0
129,106,Add-on: Extra user,1,60.91,60.91
130,107,Subscription fee,1,9999.0,9999.0
131,107,Late fee,1,231.81,231.81
132,108,Subscription fee,1,1499.0,1499.0
133,109,Subscription fee,1,24999.0,24999.0
134,110,Subscription fee,1,24999.0,24999.0
135,111,Subscription fee,1,9999.0,9999.0
136,112,Subscription fee,1,199.0,199.0
137,113,Subscription fee,1,1499.0,1499.0
138,114,Subscription fee,1,999.0,999.0
139,115,Subscription fee,1,999.0,999.0
140,116,Subscription fee,1,4999.0,4999.0
141,117,Subscription fee,1,9999.0,9999.0
142,118,Subscription fee,1,1999.0,1999.0
143,119,Subscription fee,1,2799.0,2799.0
144,120,Subscription fee,1,1499.0,1499.0
145,120,Add-on: Extra storage,1,118.33,118.33
146,121,Subscription fee,1,2799.0,2799.0
147,122,Subscription fee,1,2799.0,2799.0
148,123,Subscription fee,1,9999.0,9999.0
149,124,Subscription fee,1,2799.0,2799.0
150,125,Subscription fee,1,9999.0,9999.0
